meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about persons, fork, surfboard and train.",fork,surfboard,train,"a group of people are standing on a beach, holding a fork, a surfboard, and watching a train pass by."
"In one sentence, Describe a scene about persons, stop sign, chair and sports ball.",stop sign,chair,sports ball,"a group of people are gathered around a stop sign, playing a game of catch with a sports ball while sitting in a circle of chairs."
"In one sentence, Describe a scene about persons, airplane, suitcase and backpack.",airplane,suitcase,backpack,"a group of people are standing in an airport, carrying suitcases and backpacks, waiting to board an airplane."
"In one sentence, Describe a scene about persons, bus, motorcycle and pizza.",bus,motorcycle,pizza,"a group of people are standing on a street corner, waiting for a bus, while a motorcycle zooms by delivering a large pizza."
"In one sentence, Describe a scene about persons, potted plant, teddy bear and toothbrush.",potted plant,teddy bear,toothbrush,"a group of people are gathered around a potted plant, a teddy bear, and a toothbrush, chatting and laughing."
"In one sentence, Describe a scene about persons, person, scissors and laptop.",person,scissors,laptop,"persons are sitting around a laptop, each holding scissors, ready to cut out pieces of paper for an art project."
"In one sentence, Describe a scene about persons, bear, remote and horse.",bear,remote,horse,"a group of people are gathered around a bear, a horse, and a remote, seemingly discussing something important."
"In one sentence, Describe a scene about persons, airplane, oven and apple.",airplane,oven,apple,"a group of people are standing around an airplane, while an oven is baking an apple pie nearby."
"In one sentence, Describe a scene about persons, cake, toilet and umbrella.",cake,toilet,umbrella,"at the party, people were laughing and eating cake while someone was in the bathroom with an open umbrella."
"In one sentence, Describe a scene about persons, horse, backpack and fire hydrant.",horse,backpack,fire hydrant,"a group of people are standing around a fire hydrant, with a horse nearby, while one of them is putting a backpack on the horse."
"In one sentence, Describe a scene about persons, donut, fork and pizza.",donut,fork,pizza,"a group of people sitting around a table, enjoying a pizza, while munching on donuts with forks."
"In one sentence, Describe a scene about persons, chair, potted plant and bus.",chair,potted plant,bus,"a group of people are sitting in chairs around a potted plant, waiting for a bus to arrive."
"In one sentence, Describe a scene about persons, bird, refrigerator and wine glass.",bird,refrigerator,wine glass,"a group of people are gathered around a refrigerator, each holding a wine glass, while a bird chirps in the background."
"In one sentence, Describe a scene about persons, bench, skateboard and snowboard.",bench,skateboard,snowboard,"a group of people are sitting on a bench, while a couple of them are skateboarding and snowboarding around them."
"In one sentence, Describe a scene about persons, laptop, fire hydrant and car.",laptop,fire hydrant,car,"persons are gathered around a laptop, a red fire hydrant, and a blue car, talking and laughing."
"In one sentence, Describe a scene about persons, keyboard, zebra and sports ball.",keyboard,zebra,sports ball,"a group of people are gathered around a keyboard, throwing a sports ball back and forth while a zebra looks on curiously."
"In one sentence, Describe a scene about persons, tv, cell phone and baseball glove.",tv,cell phone,baseball glove,"a group of people are gathered around a television, talking and texting on their phones while one person holds a baseball glove, ready to catch a ball."
"In one sentence, Describe a scene about persons, chair, apple and spoon.",chair,apple,spoon,"the scene is of three people sitting in chairs, one of them holding an apple in one hand and a spoon in the other."
"In one sentence, Describe a scene about persons, cake, donut and cell phone.",cake,donut,cell phone,"a group of people are gathered around a table, eating a cake, donuts, and talking on their cell phones."
"In one sentence, Describe a scene about persons, oven, scissors and remote.",oven,scissors,remote,"the persons are sitting in a room, watching tv with the remote in one hand and scissors in the other, while the oven is humming in the background."
"In one sentence, Describe a scene about persons, boat, banana and broccoli.",boat,banana,broccoli,"a group of people are on a boat, eating bananas and broccoli together."
"In one sentence, Describe a scene about persons, cow, car and broccoli.",cow,car,broccoli,"a chaotic scene of people, a cow, a car, and broccoli scattered around a busy street."
"In one sentence, Describe a scene about persons, horse, snowboard and apple.",horse,snowboard,apple,"a group of people are snowboarding down a hill with a horse galloping alongside them, while an apple falls from a tree nearby."
"In one sentence, Describe a scene about persons, bicycle, bear and refrigerator.",bicycle,bear,refrigerator,a group of people are riding their bicycles around a bear while a refrigerator hums in the background.
"In one sentence, Describe a scene about persons, baseball bat, zebra and oven.",baseball bat,zebra,oven,"persons are playing baseball with a baseball bat, while a zebra watches curiously and an oven bakes in the background."
"In one sentence, Describe a scene about persons, dog, pizza and suitcase.",dog,pizza,suitcase,"a group of people, a dog, a suitcase and a pizza are gathered around a picnic table in a park, laughing and enjoying each other's company."
